quote_date,expiry,strike,underlying_price,c_bid,c_ask,c_iv,p_bid,p_ask,p_iv,combined_futures,log_moneyness,dte,total_variance
2026-03-07,2026-03-09,2800.0,6740.02,3921.8,3949.4,4.477055184936522,0.0,0.05,2.6093784765625,6735.575000000001,-0.8777837639441405,2,0.03730880018601443
2026-03-07,2026-03-09,5500.0,6740.02,1222.3,1248.9,1.2238808337402345,0.05,0.15,0.719729365234375,6735.5,-0.20264395391806034,2,0.002838412927017405
2026-03-07,2026-03-09,6000.0,6740.02,729.8,739.5,1.0000000000000004e-05,0.35,0.5,0.5034229345703125,6734.225,-0.11544326348605406,2,0.0013886830194596445
2026-03-07,2026-03-09,6100.0,6740.02,630.3,639.5,1.0000000000000004e-05,0.55,0.7,0.4565484033203125,6734.275,-0.09892138626662503,2,0.00028554188444163445
2026-03-07,2026-03-09,6460.0,6740.02,274.7,282.5,0.2652356192016601,4.1,4.4,0.2974618594360351,6734.35,-0.041591976645691205,2,0.0004337376061167391
2026-03-07,2026-03-09,6470.0,6740.02,265.1,273.0,0.2665478619384765,4.5,4.8,0.294379614868164,6734.4,-0.040052610521359916,2,0.0004310131975844716
2026-03-07,2026-03-09,6500.0,6740.02,236.6,244.6,0.2651745846557617,5.9,6.2,0.2847361566162109,6734.55,-0.03544881558373854,2,0.0004142490731045074
2026-03-07,2026-03-09,6520.0,6740.02,217.8,225.8,0.2616345809936523,7.0,7.6,0.2805858074951171,6734.5,-0.032369192118170916,2,0.00040274376670261904
2026-03-07,2026-03-09,6550.0,6740.02,190.3,198.1,0.2558210404968262,9.4,10.0,0.272193557434082,6734.5,-0.027778518409571937,2,0.00038191700770977895
2026-03-07,2026-03-09,6575.0,6740.02,167.9,175.6,0.2506941386413574,12.0,12.5,0.2647473428344726,6734.5,-0.023968989992904265,2,0.0003639450970219157
2026-03-07,2026-03-09,6600.0,6740.02,146.1,153.8,0.2455824954223632,15.2,15.8,0.2583844914245606,6734.45,-0.020166494540632622,2,0.00034792153949529805
